timestamp,user_id,session_id,scenario_id,drill_id,rep_idx,bullets_n,rep_start_time,buzzer_start_time,shot_start_time,shot_resolved_time,object_id,object_type,score,valid_hit_recomputed,live_targets,center_x,center_y,center_z,hit_x,hit_y,hit_z,reaction_time_s,radial_error_m,target_row,trigger_press_duration_s,trigger_smoothness,gaze_target_angle_deg,gaze_stability_deg,pupil_diameter_mm,gaze_eye_used,quiet_eye_duration_s,quiet_eye_eye_used
20260601072107,235,2562,11640,012_TargetAcquisition_012,11,2,1780312704551,1780312714470,1780312717236,1780312717267,LINE_2/3/BODY/C,valid,2.0,True,LINE_2/3/BODY/*,0.0,1.1703794,9.993409,0.0263267774,1.2965064,9.983409,2.766,0.1288453310650763,2.0,0.776,0.049639932425742515,0.7136231910124173,0.3334928998276565,8.077978182444442,right,0.998,right
20260601072107,235,2562,11640,013_TargetAcquisition_013,12,2,1780312721549,1780312727193,1780312728894,1780312728925,LINE_2/3/BODY/A,valid,5.0,True,LINE_2/3/BODY/*,0.0,1.1703794,9.993409,0.0257857069,1.14859557,9.983069,1.701,0.03375556146476629,2.0,0.1,0.04192979570419024,0.9421321571999698,0.3941046479082817,8.039834850217392,right,1.0,right
20260601072107,235,2562,11640,013_TargetAcquisition_013,12,2,1780312721549,1780312727193,1780312729549,1780312729568,LINE_2/3/BODY/A,valid,5.0,True,LINE_2/3/BODY/*,0.0,1.1703794,9.993409,0.0357442833,1.23267555,9.983069,2.356,0.07182244839500491,2.0,0.744,0.06317170882873338,1.143211525059375,0.430282609754381,8.047570249111109,right,0.998,right
20260601072107,235,2562,11640,014_TargetAcquisition_014,13,1,1780312733192,1780312738077,1780312740456,1780312740487,LINE_2/3/HEAD/B,valid,4.0,True,LINE_2/3/HEAD/*,0.00180000043,1.55463123,9.993409,0.0460515581,1.49561334,9.983409,2.379,0.07376524721217599,2.0,0.722,0.016359158957267514,0.7676399135285162,0.38838814929352367,8.095084295652175,right,1.0,right
20260601072107,235,2562,11640,015_TargetAcquisition_014,14,1,1780312743945,1780312748445,1780312750411,1780312750444,LINE_2/3/NO-SCORE/NO-SCORE,non-valid,0.0,False,LINE_2/3/HEAD/*,0.0,0.760731339,9.993409,-0.07938247,1.43822122,9.98807,1.966,0.6821247066341278,2.0,0.3,0.019642775540281075,5.227203480474653,0.3333046054752409,8.028086784565215,right,0.0,right
20260601072107,235,2562,11640,016_TargetAcquisition_014,15,1,1780312753789,1780312759999,1780312762468,1780312762498,LINE_2/3/NO-SCORE/NO-SCORE,non-valid,0.0,False,LINE_2/3/HEAD/*,0.0,0.760731339,9.993409,0.0484228879,1.649096,9.98807,2.469,0.8896833970498835,2.0,0.745,0.009808072586643778,5.288445822176615,0.43667610579781324,7.976365621739129,right,0.0,right
20260601072107,235,2562,11640,017_TargetAcquisition_017,16,1,1780312766243,1780312771428,1780312773917,1780312773949,LINE_2/2/BODY/C,valid,2.0,True,LINE_2/2/BODY/*,-1.4,1.1703794,9.993409,-1.37710738,1.27070427,9.983409,2.489,0.10290360339162705,2.0,0.478,0.010727453320346943,1.0691169962113245,0.38466450300257315,7.987657475217392,right,0.999,right
20260601072107,235,2562,11640,018_TargetAcquisition_017,17,1,1780312777373,1780312785298,1780312787353,1780312787385,LINE_2/2/BODY/C,valid,2.0,True,LINE_2/2/BODY/*,-1.4,1.1703794,9.993409,-1.37285972,1.283883,9.983409,2.055,0.11670330762852615,2.0,0.478,0.012525880364686775,0.9477851819469724,0.29027338216467,8.022190470217392,right,0.999,right
20260601072107,235,2562,11640,019_TargetAcquisition_017,18,1,1780312791340,1780312797983,1780312799986,1780312800017,LINE_2/2/BODY/C,valid,2.0,True,LINE_2/2/BODY/*,-1.4,1.1703794,9.993409,-1.35016143,1.237984,9.983409,2.003,0.08398967198891111,2.0,0.412,0.009712836312113825,0.7208206727792944,0.26761383874307015,7.920520424888887,right,0.99,right
20260601072107,235,2562,11640,020_TargetAcquisition_020,19,1,1780312803427,1780312808580,1780312810882,1780312810914,LINE_2/3/NO-SCORE/NO-SCORE,non-valid,0.0,False,LINE_2/3/HEAD/*,0.0,0.760731339,9.993409,-0.0485727079,1.64972258,9.98807,2.302,0.8903172100591219,2.0,0.834,0.008412616949384331,5.321543096212268,0.3311868059932187,7.970869981521739,right,0.0,right
20260601072107,235,2562,11640,021_TargetAcquisition_021,20,1,1780312814737,1780312819381,1780312821815,1780312821847,LINE_2/2/HEAD/A,valid,5.0,True,LINE_2/2/HEAD/*,-1.3982,1.55463123,9.993409,-1.36150825,1.56915855,9.983409,2.434,0.039462989552806436,2.0,0.81,0.010932800767747679,0.698393893003598,0.35587179656727663,7.989157611086957,right,1.0,right
